0_macro_mape,84.71
0_micro_mape,98.65
0_feat,"[ 50.6   92.44  94.45  99.02  92.12  95.79 100.    99.57 100.   100.
 100.   100.   100.   100.   100.  ]"
1_macro_mape,23.99
1_micro_mape,49.37
1_feat,"[ 44.9    0.04  72.32  42.08  14.22  38.84  19.69 100.    12.17 100.
  80.82 100.   100.     1.3    0.43]"
2_macro_mape,48.6
2_micro_mape,64.64
2_feat,"[ 63.53  59.91 100.     8.92 100.    64.25  25.   100.     6.7  100.
 100.   100.    17.57  57.13  95.74]"
3_macro_mape,89.03
3_micro_mape,99.3
3_feat,"[ 67.42  93.41  95.11  99.27 100.    95.3  100.   100.   100.   100.
  97.88 100.   100.   100.   100.  ]"
4_macro_mape,93.68
4_micro_mape,99.22
4_feat,"[ 76.88  99.38  93.36  99.33 100.    98.46 100.   100.   100.   100.
  98.7  100.   100.   100.   100.  ]"
5_macro_mape,93.94
5_micro_mape,99.62
5_feat,"[ 86.43  92.75  97.1   98.67 100.    96.6  100.   100.   100.    99.64
 100.   100.   100.   100.   100.  ]"
6_macro_mape,93.1
6_micro_mape,99.0
6_feat,"[ 84.09  90.6   93.97 100.   100.   100.   100.   100.    97.7  100.
 100.   100.    97.29 100.   100.  ]"
7_macro_mape,92.05
7_micro_mape,98.81
7_feat,"[ 80.02  97.26  95.94 100.   100.    90.91 100.    92.02 100.    99.89
 100.   100.   100.    98.93 100.  ]"
8_macro_mape,93.26
8_micro_mape,99.11
8_feat,"[ 82.89  90.13  96.21 100.   100.   100.   100.   100.   100.   100.
 100.    97.9  100.    96.14 100.  ]"
9_macro_mape,92.6
9_micro_mape,99.33
9_feat,"[ 92.38  91.05  99.76  95.59 100.    86.98  97.25 100.   100.   100.
 100.   100.   100.   100.   100.  ]"
10_macro_mape,30.91
10_micro_mape,47.46
10_feat,"[ 57.31   2.21  62.21  41.55  13.24  52.99  21.21 100.    11.13 100.
 100.   100.    68.95   3.17   0.57]"
11_macro_mape,96.5
11_micro_mape,99.23
11_feat,"[ 98.79  87.23  92.15 100.   100.   100.   100.   100.   100.    99.24
 100.   100.   100.    99.34 100.  ]"
