0_mape,96.45
0_ingrs,"[ 76.24  86.75  88.22  99.85  96.67  99.55 100.    99.42 100.   100.
 100.   100.   100.   100.   100.  ]"
1_mape,33.17
1_ingrs,"[ 26.22   0.13  40.74  16.75  57.35  15.87   2.02 100.    10.22  57.02
 100.    44.63  25.36   0.85   0.46]"
2_mape,90.89
2_ingrs,"[ 56.54  60.53 100.   100.   100.   100.   100.   100.   100.   100.
 100.   100.    87.36  58.98 100.  ]"
3_mape,96.83
3_ingrs,"[ 77.9   92.3   93.06  96.98 100.    94.81 100.   100.   100.   100.
  97.38 100.   100.   100.   100.  ]"
4_mape,96.91
4_ingrs,"[ 85.78  88.84  84.14  98.69 100.    97.39 100.   100.   100.   100.
  98.75 100.   100.   100.   100.  ]"
5_mape,97.65
5_ingrs,"[ 98.63  91.58  84.15  98.28 100.    96.25 100.   100.   100.    95.86
 100.   100.   100.   100.   100.  ]"
6_mape,97.82
6_ingrs,"[ 82.35  96.03  93.9  100.   100.   100.   100.   100.    98.59 100.
 100.   100.    96.48 100.   100.  ]"
7_mape,96.3
7_ingrs,"[ 94.22  91.82  89.61 100.   100.    82.94 100.    94.21 100.    96.21
 100.   100.   100.    95.47 100.  ]"
8_mape,98.91
8_ingrs,"[ 96.94  97.31  96.7  100.   100.   100.   100.   100.   100.   100.
 100.    96.88 100.    95.85 100.  ]"
9_mape,98.29
9_ingrs,"[ 89.46  90.91  99.42  99.79 100.    96.99  97.74 100.   100.   100.
 100.   100.   100.   100.   100.  ]"
10_mape,35.35
10_ingrs,"[ 44.96   5.43  44.92  11.68  30.57   3.97   2.81 100.    27.48  53.01
 100.    82.    21.37   1.4    0.66]"
11_mape,98.53
11_ingrs,"[ 90.33  95.54  96.   100.   100.   100.   100.   100.   100.    96.32
 100.   100.   100.    99.76 100.  ]"
