0_macro_mape,89.52
0_micro_mape,95.97
0_feat,"[ 89.98  71.99  73.39  93.27  99.72  96.09 100.    89.3  100.   100.
 100.   100.   100.   100.   100.  ]"
1_macro_mape,27.18
1_micro_mape,51.86
1_feat,"[ 12.03   0.15  80.41  63.1    6.79  15.87   2.02 100.    80.68 100.
 100.   100.     2.65  34.34   0.42]"
2_macro_mape,94.66
2_micro_mape,99.07
2_feat,"[ 86.57  92.06 100.   100.   100.   100.   100.   100.   100.   100.
 100.   100.   100.    89.76 100.  ]"
3_macro_mape,88.9
3_micro_mape,96.66
3_feat,"[ 59.6   98.55  73.98  95.19 100.    97.44 100.   100.   100.   100.
  94.09 100.   100.   100.   100.  ]"
4_macro_mape,85.34
4_micro_mape,94.91
4_feat,"[ 60.73  94.1   53.16  95.66 100.    86.55 100.   100.   100.   100.
  95.19 100.   100.   100.   100.  ]"
5_macro_mape,87.13
5_micro_mape,96.49
5_feat,"[ 56.56  95.94  66.    95.43 100.    96.02 100.   100.   100.    91.87
 100.   100.   100.   100.   100.  ]"
6_macro_mape,86.17
6_micro_mape,96.5
6_feat,"[ 96.6   65.29  86.01 100.   100.   100.   100.   100.    82.79 100.
 100.   100.    92.67 100.   100.  ]"
7_macro_mape,42.96
7_micro_mape,79.01
7_feat,"[ 61.59  83.69  85.7  100.   100.    23.81 100.    35.71   2.73  94.12
 100.    56.21 100.    88.77 100.  ]"
8_macro_mape,41.42
8_micro_mape,73.06
8_feat,"[ 62.38  88.02  73.17 100.   100.    14.55 100.   100.     0.74 100.
 100.     9.43 100.    20.36 100.  ]"
9_macro_mape,78.18
9_micro_mape,99.09
9_feat,"[ 70.72  83.63  99.25  92.14 100.    58.37  98.61 100.   100.   100.
 100.   100.   100.   100.   100.  ]"
10_macro_mape,25.62
10_micro_mape,51.58
10_feat,"[ 12.56   8.99  59.96  87.9   14.     3.97   2.02 100.    76.97 100.
 100.   100.     2.41  23.54   0.56]"
11_macro_mape,63.43
11_micro_mape,90.28
11_feat,"[ 45.61  98.19  86.63 100.   100.   100.   100.   100.     9.93  97.19
 100.   100.   100.    96.55 100.  ]"
